symptoms	sentences
helicobacter infection	Hello, is that phantom sculpture positive? What's the method?
difficult eating,disgusting,abdominal pain	What's the difference between amygdala and amygdala?
counter-current,hot heart	Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah. Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah. Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.
abdominal distention	Did you eat a lot lately? Did you have a big stomach?
ventilation	You can see that the food is all semi-fluid. Bullshit has nothing to do with it.
heat	Is there a fever?
hiccup,counter-current	Any anti-acid, hiccups?
difficult eating	You don't want to take medication, or for some other reason, like pregnancy?
diarrhea,difficult eating	All right, diarrhea, diarrhea, the main cause of diarrhea is still related to the diet, and if you do not want to take the medication, you can watch the diet, the heat and the cold. I'm sure it'll be all right to have some oatmeal lately, but if you keep pulling, you can buy some medicine.
disgusting,abdominal distention,abdominal pain	Is there nausea, vomiting, abdominal pain, constipation?
diarrhea,abdominal pain	Diarrhea? What kind of shit, form? Any abdominal pain?
black poo	How long have you been dark?
stomach ache	Does it hurt when you're hungry? Lately.
black poo,blood in stool	You're supposed to get a 12-finger ulcer suggesting that it's better to go to a hospital and have a stomach mirror with a black ulcer, but the ulcer needs a gastric mirror to see if it's serious enough to have a knife surgery.
indigestion	In addition, it is important to develop a good diet and lifestyle. First, three meals per day must be on time and must be well eaten, free from hot and stimulating food and greasy food, free from cold food and food that is not easily digestive, free from heavy and light diets, and free from diets.
hiccup,disgusting,counter-current	I don't like it.
bowel sound	You're going to have to take into account the intestinal sound generated by intestinal creeping too fast.
counter-current,hot heart	Yes, a small amount. It's best to pause when there's anti-acid, heart-burning, and so on.
heat,disgusting,abdominal pain	There's usually no abdominal pains, nausea and heat.
gastrointestinal dysfunction	If it's okay, consider the intestine disorder.
gastrointestinal dysfunction	Intestine disorders are mainly functional diseases, i.e. all types of examinations are normal, and treatment is mainly divided into lifestyle improvements and drug treatment. The improvement in lifestyle is mainly due to a high degree of irritation of the diet, the cessation of alcohol smoking and the need to stay up all night, and the need to relax when stress is high. Drugs can be treated orally with golden dichotomy or whole-intestinal intestinal prophylactic pills.
diarrhea	It's not so much a problem, it's normal to do intestinal mirrors, but our normal treatment is that chronic diarrhea is clearly intestinal, so it's personal.
heat	Hello. Not to mention the cold. How many degrees of fever are we having?
gastrointestinal discomfort	Well, don't worry too much, this happens to many pregnant women. In your current symptoms, the main consideration is the abnormality of the gastrointestinal tract during pregnancy, which is normal. Relax, move around.
ventilation	Not much of a fart lately.
dysbacteriosis	Well, it still looks like an intestinal disorder.
indigestion	Yes. Consider symptoms caused by indigestion.
abdominal distention	Taking into account gas from gastrointestinal swelling, it is recommended that yogurt be used regularly and that hot water be used to keep the abdominal warm and massage the abdominal.
abdominal distention	Considering cold gastrointestinal swelling.
diarrhea	In case of normal pain, no diarrhea, consider the symptoms of fetal oppression.
gastrointestinal dysfunction	Consider gastrointestinal disorders.In the future, attention will be paid to dietary adjustments.
stomach ache	How long has it been since the stomach ache?
disgusting,abdominal distention,indigestion,stomach ache,counter-current	Is there anything more uncomfortable than stomach pain, non-demorrhage? Are there anti-acids? Disgusting?
difficult eating,indigestion,stomach ache	Did you eat anything bad or unhygienic before your stomach aches?
abdominal pain	The pain from the umbilical flow to the lower right beware of the possibility of appendicitis?
loose stool	You don't have to worry, if it's big and watery, you can eat a bit of demagogic, and all the others are a little thin.
stomach ache	Hello, how long has the stomach ache? Normally, Omega doesn't use breast-feeding women for pregnant women. There is no need for caution.
stomach ache,abdominal distention,hiccup	In addition to stomach pains, are there other symptoms?
stomach ache	Is it usually hunger pain, or stomach pain?
hiccup,difficult eating,abdominal distention	Besides pain, do you have a stomach swelling and hiccup? Does your stomach sour? Did you eat anything bad before?
indigestion	Potatoes are poorly digested, have a lot of starch, and are prone to acid production.
restlessness	You're a menstrual anxiety.
indigestion	Well, that shouldn't be a problem for the time being, it's still a sign of indigestion.
abdominal pain	There's no abdominal pain.
heat	There's no fever.
hiccup,counter-current,abdominal distention	Ooh-oh. There's no abdominal swelling. There's no anti-acid burp.
intestinal obstruction	Hello, do you have an infarction?
dysbacteriosis	This is caused by intestinal disorders, which require attention to normal dietary patterns and light diets.
abdominal distention	Isobutylene plays a low role, gasses the stomach and has a poor effect on the intestinal gas. Let's try the venom.
diarrhea	I had a diarrhea yesterday. It was supposed to be from yesterday's food.
gastrointestinal discomfort	You're sick of your stomach, you're sick of your pills, honey.
diarrhea,abdominal pain	Well, saffron can treat diarrhea abdominal pain. Or intestinal inflammation.
hemorrhoid	Do you have hemorrhoids? Do you have blood when you quit?
stomach ache	How's your stomach? Is it swelling or stinging or hidden pain?
counter-current,hot heart	What are you doing?
abdominal distention	It's just a slight discomfort through the throat and a slight gastric gas in the stomach, but just a few minutes later.
diarrhea	How many times have you had a diarrhea?
abdominal pain	Which part is the main abdominal pain?
abdominal pain	It's a pain around the belly, isn't it? Is the temperature normal?
diarrhea	In some cases, mild diarrhea can occur from the use of some Chinese drugs, but usually ceases after the use of Chinese drugs has ceased. You can watch after one to two weeks of taking drugs and dietary adjustments, and there's nothing to be done if the symptoms are alleviated. It would be reassuring to recommend a colonoscopy test if the symptoms were not alleviated significantly or if the number of diarrheas increased.
abdominal distention,abdominal pain	I can take a few feces a day, no abdominal pains, no symptoms of abdominal swelling.
blood in stool	There's no blood in the shit.
hiccup,counter-current,abdominal distention	Anti-acid gas? Did you get any abdominal swelling? Did you check it at the hospital?
